Item,Manufacturer,Part #,Quantity,Link
Wheels,Pololu,1439,1,Pololu Wheel 90×10mm Pair - White
Mounting Hub,Pololu,1999,1,"Pololu Universal Aluminum Mounting Hub for 6mm Shaft, M3 Holes (2-Pack)"
DC Gearmotors,Pololu,4751,2,19:1 Metal Gearmotor 37Dx68L mm 12V with 64 CPR Encoder (Helical Pinion)
M-F Standoffs,McMaster-Carr,98952A108,4,"Aluminum Male-Female Threaded Hex Standoff
4.5mm Hex, 10mm Long, M3 x 0.50 mm Thread"
Long F-F Standoffs,McMaster-Carr,95947A020,4,"Aluminum Female Threaded Hex Standoff
4.5mm Hex, 37mm Long, M3 x 0.50 mm Thread"
Short F-F Standoffs,McMaster-Carr,94868A162,4,"Female Threaded Hex Standoff
18-8 Stainless Steel, 4.5mm Hex, 6mm Long, M3 x 0.5mm Thread"
